SNP,p_AA,p_Aa,p_aa,slope1,slope2,ratio,cluster
rs6502670,0.0794366060325278,0.0783630047675338,0.0749762062427281,-0.00107360126499402,-0.0033867985248057,3.15461487913258,7
rs75750159,0.0777491268049831,0.0822968422814583,0.0822527345576183,0.00454771547647528,-4.41077238400034e-05,-0.00969887497759406,2
rs1724422,0.0767263823068425,0.0790808481187371,0.0792364993853316,0.00235446581189461,0.000155651266594503,0.066108951681593,2
rs116900924,0.0779842787922066,0.0873397042672173,0.0835891430104221,0.00935542547501067,-0.00375056125679518,-0.400896919847561,2
rs6566341,0.0764041266046421,0.0793591685887615,0.0814418848978596,0.00295504198411944,0.00208271630909808,0.70480092001762,6
rs7228917,0.0792395042601225,0.0758404882349255,0.0737955861326201,-0.00339901602519703,-0.00204490210230537,0.601615905057946,2
rs11872713,0.0792656500338569,0.0762435497376466,0.0729561406579187,-0.00302210029621035,-0.00328740907972792,1.08778953625406,6
rs113949240,0.0771049196315,0.0792843471702923,0.0823742976380352,0.00217942753879226,0.00308995046774299,1.41778077625618,6
rs8088667,0.0773714461377388,0.0803939210422017,0.0821786738304402,0.00302247490446292,0.00178475278823843,0.590493831926647,2
rs113230003,0.0794578956158423,0.0773996842731314,0.0737397073428798,-0.00205821134271095,-0.00365997693025159,1.77823183377801,3
rs57962361,0.0776878234040165,0.079956694694464,0.0929440726412889,0.00226887129044742,0.0129873779468249,5.72415808755015,1
rs11671304,0.0810745479189785,0.0768486592403218,0.0719848809368875,-0.00422588867865668,-0.00486377830343429,1.15094804271569,6
rs117277394,0.0779677464084274,0.0825834084309229,0.0692439176642493,0.00461566202249547,-0.0133394907666736,-2.89004929339725,5
rs8127031,0.0795408515561743,0.0769690636873483,0.0763064405234873,-0.00257178786882602,-0.000662623163860954,0.257650785235032,2
rs111701037,0.0785708314091516,0.0768126089633957,0.0631424483313626,-0.00175822244575592,-0.0136701606320331,7.77498925976677,1
rs73332306,0.077856768920228,0.0800653591680303,0.0877200136971,0.00220859024780236,0.00765465452906972,3.46585544180792,7
,0.0803064746880096,0.0772316214565652,0.0760012118906896,-0.00307485323144445,-0.00123040956587558,0.400152291268089,2
rs62259076,0.0780391584784254,0.078488963767247,0.0869589790489213,0.000449805288821659,0.00847001528167426,18.8304039373635,8
rs115018790,0.0782922509247359,0.078167855886763,0.106698960623924,-0.000124395037972846,0.0285311047371614,-229.358865129245,8
rs11759530,0.0784654429744694,0.0784872585968903,0.0720409326388747,2.18156224209148e-05,-0.00644632595801559,-295.491269221612,8
rs148555285,0.078229146022388,0.0817619154081229,0.151469769578554,0.00353276938573491,0.0697078541704316,19.7317873201425,8
rs144106825,0.0783107060007645,0.078292444574169,0.141402093461951,-1.82614265955283e-05,0.0631096488877819,-3455.89916306076,8
rs75567844,0.0781513814474481,0.0831740416114049,0.146781885967071,0.00502266016395674,0.0636078443556665,12.6641744173983,8
rs117458799,0.0783250673356309,0.0777763949613049,0.182715423417116,-0.000548672374325959,0.104939028455811,-191.259909130158,8
rs16912599,0.078266120299681,0.0791336000865137,0.116443027991342,0.000867479786832673,0.037309427904828,43.0089881875537,8
rs75976912,0.078267134795055,0.0791115195160605,0.116421068338259,0.000844384721005495,0.0373095488221982,44.1854854713263,8
rs77196213,0.0782070765841519,0.0824941373959875,0.170869666563008,0.00428706081183562,0.0883755291670202,20.6144799539664,8
rs12908745,0.0778753984246873,0.0779769716207212,0.0815891100646735,0.000101573196033961,0.00361213844395228,35.5619256358201,8
rs1190761,0.0781781309269758,0.0799312073716397,0.114259820203296,0.00175307644466381,0.0343286128316563,19.5819257831848,8
rs118016237,0.0782297929988386,0.079725455791988,0.112111289480576,0.00149566279314939,0.0323858336885881,21.6531652969677,8
rs7218133,0.0781649318342396,0.0781837417678891,0.0852455434604282,1.88099336494718e-05,0.00706180169253916,375.4293781221,8
rs12462426,0.077958916658356,0.0783410561924962,0.0825758609909169,0.000382139534140249,0.0042348047984207,11.0818285471256,8
